,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_Political,Riots_Caste Conflict,Riots_SC/STs Vs Non-SCs/STs,Riots_Other Caste Conflict,Riots_Agrarian,Riots_Students,Riots_Sectarian,Riots_Others,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Counterfeit currency & Bank notes,Counterfeiting currency notes/Bank notes,Using forged or counterfeiting currency/Bank notes,Possession of forged or counterfeiting currency/Bank notes,Making or Possessing materials for forged currency/Bank notes,Making or Using documents resembling currency,Arson,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault or use of criminal force to women with intent to Disrobe,Voyeurism,Stalking,Other Assault on Women,Insult to the Modesty of Women,At Office premises,Other places related to work,In Public Transport system,"Places other than 231, 232 & 233",Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Deaths due to negligent driving/act,Deaths due to Other Causes,Offences against State,Sedition,Other offences against State,Offences promoting enmity between different groups,Promoting enmity between different groups,"Imputation, assertions prejudicial to national integration",Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
Other offences against State,0.183202286,0.148527047,0.053438296,0.03974529,0.20115924,-0.008170446,-0.009136782,-0.008075274,0.202615655,0.033830679,0.214503222,0.169150385,0.215545851,0.029081798,0.039445432,0.384097214,0.30960127,0.183405423,0.213456382,0.060651676,0.21537991,0.074486559,0.073457208,0.147060611,0.171991877,0.057962792,0.099180662,0.063328011,0.117517692,0.130171177,0.156796953,0.011933912,0.066975144,0.054131527,0.025870932,0.005789621,0.029872303,0.037732962,0.0284034,0.000336943,0.161269007,0.293701507,0.104298268,0.029587866,0.139652701,0.032685909,0.366275344,0.150925958,0.257418873,0.065959721,0.051957081,0.03600212,0.015147287,0.306955847,0.248068734,0.248390156,0.040745636,0.003702196,0.078827835,0.149417396,0.068054709,0.207175639,0.031090884,0.020282809,0.178862139,0.032012157,0.036933913,0.010878767,0.007921262,0.032424857,0.257147855,0.13427252,0.077669437,0.041220607,0.549782353,0.911115349,0.062528759,1,,,,,,,,,,
Offences promoting enmity between different groups,0.519035889,0.503526779,0.383063688,0.61147209,0.581773598,0.215802224,0.265852894,0.212456256,0.581233866,0.442096217,0.582901492,0.297189539,0.44691821,0.389559264,0.177901398,0.412922482,0.32066331,0.447480182,0.441235357,0.360394897,0.439412794,0.422695279,0.511581958,0.573907305,0.544319393,0.589156932,0.529663533,0.53950725,0.489063958,0.486717575,0.547903659,0.201188861,0.169206709,0.62141128,0.337659657,0.375288961,0.284153885,0.254266266,0.584197889,0.115935023,0.523318192,0.474532224,0.727874064,0.484916905,0.439678997,-0.003922093,0.186310593,0.560182007,0.606717496,0.417304948,0.34434976,0.120761805,0.458870938,0.616754648,0.32932269,0.328813399,0.406645932,0.344811593,0.355917695,0.679286308,0.511869346,0.487872047,0.49305816,0.488255117,0.713734778,0.426661656,0.481673408,0.268913414,0.269779698,0.4194608,0.58976486,0.102725771,0.663180134,0.662493154,0.317877424,0.057750148,0.087205766,0.024554223,1,,,,,,,,,
Promoting enmity between different groups,0.521906314,0.509808503,0.383051407,0.59522053,0.578929924,0.215996241,0.269879176,0.212518757,0.578368046,0.445421026,0.57951003,0.30652087,0.449167225,0.391766631,0.178365209,0.417875828,0.321058861,0.451620257,0.439709973,0.358701551,0.43790475,0.429870204,0.510489738,0.570708557,0.540140026,0.589150052,0.533568258,0.542227563,0.493534335,0.49685356,0.543185084,0.203703926,0.174612322,0.599997302,0.333643034,0.368875276,0.281461421,0.256311214,0.554507522,0.119570978,0.519604808,0.475656416,0.737147919,0.496158488,0.443734044,-0.003783464,0.19416393,0.565192399,0.606753878,0.42591447,0.3503274,0.115810088,0.439150451,0.61406361,0.326153704,0.325631895,0.408947829,0.348967488,0.357325648,0.67598043,0.502025656,0.48860188,0.489537462,0.48862685,0.713662387,0.431247199,0.478371753,0.274899278,0.271877304,0.423822088,0.595765272,0.104793034,0.667437002,0.666866551,0.318213398,0.055879472,0.083492465,0.024173295,0.99763068,1,,,,,,,,
"Imputation, assertions prejudicial to national integration",0.217096753,0.167085883,0.186742567,0.500111074,0.318772843,0.102702221,0.079386136,0.102709225,0.318785575,0.173964377,0.326139916,0.028624484,0.189702314,0.1622812,0.080882974,0.139485429,0.15127163,0.166440249,0.233909698,0.19662286,0.232806116,0.116596372,0.262784326,0.31936037,0.317152759,0.287063027,0.209400762,0.228936594,0.182584765,0.110928704,0.325609539,0.066696722,0.015143026,0.569202968,0.214463657,0.26262622,0.171920827,0.098401631,0.654082834,0.011219334,0.301123559,0.217152403,0.239125564,0.096291531,0.163698556,-0.003635794,-0.006989628,0.210505324,0.295078323,0.096116013,0.093335588,0.120451057,0.468952944,0.333912393,0.199853188,0.199760909,0.169427591,0.116233657,0.155843814,0.37202364,0.37184354,0.228558332,0.283985815,0.233201776,0.348560044,0.150755376,0.275714161,0.056488316,0.105302839,0.150038885,0.212593471,0.024308776,0.270053776,0.268268846,0.15065611,0.051412109,0.088692873,0.016701286,0.516586537,0.456456188,1,,,,,,,
Extortion,0.798974423,0.721862803,0.461495698,0.293848479,0.656613056,0.247746381,0.247056386,0.245878218,0.65592087,0.461266011,0.661340701,0.500285069,0.717236343,0.401480048,0.50277779,0.774635172,0.756512613,0.586826369,0.767595927,0.587645728,0.765395342,0.400996756,0.598038675,0.652594276,0.666259359,0.534602386,0.627142784,0.602269992,0.604207091,0.40962918,0.729415207,0.403201402,0.232476279,0.181724212,0.437155453,0.449774005,0.380617649,0.528139243,0.076742301,0.238726628,0.727900341,0.778225556,0.632262818,0.455441123,0.658364934,0.29656182,0.317384824,0.608169563,0.733421275,0.437215883,0.352790477,0.166146353,0.046702056,0.772855464,0.713143976,0.713120602,0.46466598,0.385602552,0.604524753,0.60981462,0.529392192,0.574344041,0.473071084,0.489736649,0.572522862,0.367192725,0.37542438,0.32290198,0.164909889,0.35636667,0.678561653,0.474827503,0.677994538,0.650031417,0.709175274,0.574046385,0.345593231,0.487217358,0.388190058,0.394082881,0.115745748,1,,,,,,
Disclosure of Identity of Victims,0.184538095,0.42100819,0.163820531,0.175200841,0.240560365,0.000104118,-0.00377181,0.000234838,0.242106068,0.144232147,0.246552875,0.626726987,0.234481943,0.192039048,0.036133145,0.373393613,0.091653746,0.405360598,0.0677839,0.100877404,0.066380986,0.584959889,0.026002268,-0.000336855,0.000642952,-0.003098928,0.121428887,0.0668143,0.151255583,0.120068095,0.178845276,0.125508263,0.507356685,0.257053949,0.007529741,0.005917539,0.007201301,0.008535678,0.019633986,0.000179568,0.169037933,0.232325683,0.152124174,0.073222605,0.367741634,-0.002612361,-0.003490622,0.46861181,0.342436612,0.490052915,0.270551845,0.289288905,0.0618752,0.160328516,0.369772264,0.369479722,0.398379464,0.129771867,0.106632012,0.180900908,0.09619948,0.244523423,0.207305191,0.112422322,0.195966233,0.095536625,0.116818324,0.014309629,0.059624059,0.097148423,0.453651429,0.354325211,0.116894638,0.103452773,0.243765142,0.060739259,0.03649163,0.051587063,0.121087038,0.126234816,-0.005087013,0.164357949,1,,,,,
Incidence of Rash Driving,0.439894193,0.411059743,0.25483554,0.631262482,0.50590517,0.09879226,0.105927626,0.097795856,0.507199514,0.281259816,0.518479794,0.143673236,0.358337361,0.308273972,0.096286702,0.30252991,0.269519938,0.350311024,0.360109077,0.226231703,0.360296916,0.292360834,0.405021183,0.546910894,0.514374078,0.573860053,0.395119803,0.402573918,0.36475693,0.263261251,0.515279922,0.213404678,0.094147872,0.703412113,0.393988519,0.321764057,0.372523115,0.182370665,0.753480392,0.27320228,0.482435703,0.345954068,0.498644997,0.23030752,0.38533172,0.01306599,0.111702021,0.478554014,0.537605368,0.330913166,0.271962665,0.206649037,0.599869092,0.620857987,0.321617964,0.321361435,0.313154588,0.226910722,0.253457094,0.578086564,0.455155868,0.373240436,0.406057409,0.34632301,0.611552485,0.327010283,0.442902266,0.378141167,0.215024095,0.308599029,0.423631977,0.068425068,0.623683168,0.622362856,0.308448051,0.088741248,0.131123437,0.039074694,0.765699699,0.743943799,0.643741114,0.328524961,0.05035384,1,,,,
HumanTrafficking,0.54769403,0.463259864,0.203828617,0.146831861,0.567222157,0.003721066,0.013746539,0.003352476,0.570797825,0.283963454,0.586553476,0.354947382,0.439779434,0.333450446,0.165194159,0.520376252,0.354776022,0.445463047,0.614552809,0.408269107,0.614325928,0.362954368,0.495715266,0.545324836,0.560950884,0.434692925,0.458407149,0.398914782,0.470069914,0.223214774,0.469983127,0.496064998,0.235035499,0.198049078,0.439375276,0.384495565,0.406383587,0.246964809,0.08106413,0.017678128,0.453663815,0.508992969,0.434880262,0.326116692,0.408339008,0.109162589,0.155787533,0.434345911,0.511116866,0.318388063,0.241685071,0.250813814,0.049771033,0.596798139,0.512367208,0.512499287,0.275819938,0.22945363,0.329239232,0.521919319,0.452687412,0.364532206,0.457827325,0.430450617,0.507869202,0.359677794,0.432895794,0.175007299,0.093515625,0.360341632,0.466894048,0.381501964,0.425095414,0.401903247,0.52440815,0.391173931,0.403158307,0.253798156,0.278990185,0.277984976,0.148406318,0.632091912,0.152609619,0.243680406,1,,,
Unnatural Offence,0.572029521,0.46110999,0.501062456,0.643885357,0.721444497,0.353102234,0.31543654,0.351684304,0.719078515,0.68193811,0.708452428,0.223460451,0.715506947,0.77752076,0.270910926,0.469285934,0.451613706,0.588863035,0.443946438,0.490637381,0.438953844,0.269816923,0.712543232,0.777069559,0.764565303,0.718886957,0.812872743,0.820486641,0.75572097,0.193816864,0.424638502,0.273579111,0.091638241,0.345620713,0.372264626,0.417432916,0.311976274,0.204315858,0.352369275,0.048770356,0.406364118,0.569589307,0.523481379,0.334830759,0.322478573,0.00224807,0.004155227,0.407447264,0.440850919,0.225914241,0.472348,0.23897105,0.287003236,0.528696569,0.431265049,0.430188624,0.660841874,0.686276756,0.505958089,0.717927555,0.732209962,0.547158535,0.65258427,0.723677298,0.612152086,0.410861346,0.545875636,0.160358334,0.152710267,0.412997255,0.467007463,0.059858338,0.567378685,0.559696149,0.371947312,0.036492677,0.066863346,0.010031498,0.50482291,0.492114366,0.404066684,0.357165374,0.048628371,0.534514117,0.299833358,1,,
Other IPC crimes,0.842423359,0.777137975,0.505238725,0.438217611,0.871092772,0.254742188,0.300255997,0.25125285,0.871641711,0.662035223,0.874231854,0.463400573,0.802851169,0.578753816,0.440800651,0.655752877,0.695071313,0.760096636,0.620635369,0.534489696,0.617391707,0.468023332,0.58276128,0.805910491,0.79298012,0.745459794,0.693104829,0.733898039,0.620770372,0.483137789,0.701677401,0.363397335,0.265558019,0.370479421,0.541717216,0.484281148,0.497433395,0.48526295,0.278222985,0.281712887,0.685506825,0.677646439,0.747699173,0.544874749,0.651325193,0.221549101,0.110148734,0.65717606,0.709362248,0.507188447,0.383607103,0.440244826,0.245998191,0.874345115,0.737354675,0.737082895,0.592087894,0.427606464,0.652579493,0.830024159,0.720450373,0.540395639,0.688015813,0.618707532,0.822334168,0.455856813,0.404089401,0.403721478,0.249734207,0.441521308,0.760049326,0.328474555,0.884790369,0.87184515,0.593625083,0.21097254,0.228913348,0.131527665,0.612322643,0.606828593,0.366639334,0.68156395,0.169823178,0.687163006,0.470633457,0.595161472,1,
Total Cognizable IPC crimes,0.874938607,0.809773603,0.582873664,0.565206337,0.90880758,0.32565673,0.349347119,0.32236645,0.908191787,0.70703331,0.909270273,0.489058548,0.854358114,0.689966915,0.447762247,0.723742316,0.697952624,0.768514655,0.70247617,0.61241348,0.698621146,0.527184787,0.734355108,0.879535393,0.862223527,0.822716594,0.825333502,0.838357228,0.763663324,0.489447494,0.753188732,0.368489974,0.283893605,0.446778654,0.564716506,0.561434878,0.498588898,0.480438018,0.351422767,0.241987545,0.734894449,0.768565508,0.819255077,0.559540035,0.687768674,0.186602636,0.151202648,0.729898006,0.78953982,0.544801716,0.486799881,0.374820868,0.291583491,0.894537944,0.738992321,0.73846949,0.676088938,0.558165997,0.680104753,0.90551499,0.799516313,0.649404331,0.747458131,0.733240942,0.872859711,0.533448532,0.548556541,0.391580209,0.269292307,0.522492772,0.801649178,0.327594668,0.909099517,0.895029354,0.620776397,0.217098533,0.211138148,0.146738927,0.717938303,0.712995521,0.411223578,0.720359618,0.188829743,0.725231715,0.511246327,0.719648741,0.959171323,1
