,Murder,Attempt to commit Murder,Culpable Homicide not amounting to Murder,Attempt to commit Culpable Homicide,Rape,Custodial Rape,Custodial_Gang Rape,Custodial_Other Rape,Rape other than Custodial,Rape_Gang Rape,Rape_Others,Attempt to commit Rape,Kidnapping & Abduction_Total,Kidnapping & Abduction,Kidnapping & Abduction in order to Murder,Kidnapping for Ransom,Kidnapping & Abduction of Women to compel her for marriage,Other Kidnapping,Dacoity,Dacoity with Murder,Other Dacoity,Making Preparation and Assembly for committing Dacoity,Robbery,Criminal Trespass/Burglary,Criminal Trespass or Burglary,House Trespass & House Breaking,Theft,Auto Theft,Other Thefts,Unlawful Assembly,Riots,Riots_Communal,Riots_Industrial,Riots_Political,Riots_Caste Conflict,Riots_SC/STs Vs Non-SCs/STs,Riots_Other Caste Conflict,Riots_Agrarian,Riots_Students,Riots_Sectarian,Riots_Others,Criminal Breach of Trust,Cheating,Forgery,Counterfeiting,Counterfeit Offences related to Counterfeit Coin,Counterfeiting Government Stamp,Counterfeit currency & Bank notes,Counterfeiting currency notes/Bank notes,Using forged or counterfeiting currency/Bank notes,Possession of forged or counterfeiting currency/Bank notes,Making or Possessing materials for forged currency/Bank notes,Making or Using documents resembling currency,Arson,Grievous Hurt,Hurt,Acid attack,Attempt to Acid Attack,Dowry Deaths,Assault on Women with intent to outrage her Modesty,Sexual Harassment,Assault or use of criminal force to women with intent to Disrobe,Voyeurism,Stalking,Other Assault on Women,Insult to the Modesty of Women,At Office premises,Other places related to work,In Public Transport system,"Places other than 231, 232 & 233",Cruelty by Husband or his Relatives,Importation of Girls from Foreign Country,Causing Death by Negligence,Deaths due to negligent driving/act,Deaths due to Other Causes,Offences against State,Sedition,Other offences against State,Offences promoting enmity between different groups,Promoting enmity between different groups,"Imputation, assertions prejudicial to national integration",Extortion,Disclosure of Identity of Victims,Incidence of Rash Driving,HumanTrafficking,Unnatural Offence,Other IPC crimes,Total Cognizable IPC crimes
Theft,0.741648069,0.640745442,0.549837491,0.530677091,0.798473723,0.354192008,0.354624549,0.35147303,0.79658172,0.694401838,0.790547621,0.362907084,0.843185688,0.898225259,0.399160599,0.678091754,0.572615508,0.629184326,0.658752259,0.602967407,0.654429755,0.401622514,0.89940865,0.885219441,0.861204383,0.846888302,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Auto Theft,0.810843119,0.653057744,0.681873826,0.461616394,0.827136697,0.518885615,0.515596518,0.51503546,0.822160556,0.837853754,0.804544494,0.328761229,0.88498921,0.810108521,0.502541918,0.673487667,0.693088706,0.691713358,0.645101465,0.689632938,0.638421955,0.354690566,0.827302879,0.8713593,0.854162178,0.815200801,0.944686077,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Thefts,0.64666956,0.591353155,0.423866099,0.544308662,0.727757177,0.218242929,0.221208788,0.21647598,0.728108268,0.55134282,0.730429329,0.363227272,0.760571401,0.901496989,0.302530035,0.637954963,0.453146294,0.545975123,0.626075785,0.504823636,0.623651238,0.408268613,0.891587305,0.838224152,0.811051195,0.814608356,0.974199748,0.846292866,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlawful Assembly,0.356088817,0.348325031,0.137100944,0.205787358,0.532278165,0.015501221,0.276790126,0.006516963,0.535395211,0.51281676,0.527006468,0.359578677,0.394896201,0.227111277,0.170111445,0.312734777,0.342376404,0.476104609,0.277046304,0.192157787,0.276744021,0.293433062,0.270397783,0.369407496,0.359191008,0.353969079,0.358219324,0.407155325,0.30166842,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots,0.812481771,0.773181529,0.539816113,0.498891734,0.599633091,0.290926436,0.236832307,0.290540666,0.597717331,0.411591009,0.603478172,0.494512206,0.665374216,0.365933859,0.686318265,0.698833756,0.690371284,0.542149534,0.796667507,0.701628277,0.792120417,0.49447768,0.576630031,0.608948868,0.630355534,0.474088666,0.572468772,0.57923262,0.531254852,0.258865553,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_Communal,0.436133709,0.370435406,0.211518474,0.093781844,0.333665115,0.076933924,0.071237385,0.076539815,0.33428507,0.289067883,0.331972579,0.304413758,0.318596933,0.165774481,0.156447615,0.370375931,0.271762981,0.414257569,0.400894226,0.339073669,0.398951378,0.271235378,0.259549701,0.332741097,0.325692179,0.312674813,0.300575414,0.331591071,0.26003721,0.129591144,0.36686959,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_Industrial,0.283194722,0.51914618,0.194057709,0.176516914,0.365193032,-0.001902892,-0.002035058,-0.001883879,0.367580456,0.212972837,0.374896739,0.677984895,0.325734443,0.273582322,0.038443463,0.421184053,0.155253652,0.503792515,0.217738268,0.148731255,0.217557217,0.704687909,0.099982877,0.092321739,0.096569743,0.069007878,0.180051971,0.121331496,0.208960174,0.14850891,0.296335411,0.247741407,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_Political,0.229011553,0.351245391,0.166302316,0.685303169,0.331668817,0.004586511,-0.000717388,0.004731461,0.333711755,0.118023135,0.34743443,0.362254978,0.186791511,0.159297896,0.023094929,0.257964372,0.089175308,0.283875504,0.222797883,0.146039274,0.222764316,0.420844803,0.188442292,0.225625482,0.222859783,0.206257626,0.184688947,0.135964474,0.206422549,0.172922993,0.435437023,0.139385715,0.397350341,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_Caste Conflict,0.524695261,0.418412686,0.23783994,0.045668058,0.523978556,0.104012846,0.07970861,0.104043371,0.525285574,0.312416464,0.534982179,0.060494207,0.390890689,0.366673712,0.095380099,0.305990371,0.289913663,0.342057802,0.653739084,0.408742051,0.654128374,0.264582493,0.633325937,0.661760902,0.648054746,0.620957829,0.483792564,0.474618259,0.459209168,0.154663222,0.427551255,0.297621994,0.112844038,0.123268219,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riots_SC/STs Vs Non-SCs/STs,0.576586583,0.429332606,0.460334202,0.086888307,0.514590161,0.345872218,0.273296402,0.34569404,0.511036763,0.409192431,0.51057704,0.087281915,0.436261458,0.361610866,0.242628795,0.353081139,0.393970284,0.303527679,0.703430995,0.605955938,0.699750596,0.228708632,0.735181885,0.672272756,0.665834516,0.609408424,0.560431046,0.575739659,0.51410605,0.171151202,0.473098028,0.237244291,0.053440721,0.134093065,0.742511388,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
